cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
s,f,g,t,p,f,d,n,k,e,e,s,s,c,c,p,w,t,p,k,n,u
x,g,y,t,a,d,c,b,k,e,c,y,y,e,e,p,w,o,p,u,a,p
k,s,n,t,l,f,w,b,n,t,c,s,k,b,b,p,w,o,p,n,v,g
b,y,w,t,y,f,c,n,e,t,e,s,k,w,g,p,w,b,n,k,s,u
b,s,g,f,n,n,c,b,o,t,b,s,s,w,e,p,w,b,z,w,a,g
k,s,y,f,a,f,w,n,n,t,z,s,s,b,b,p,w,o,p,k,n,p
f,f,w,t,a,a,c,b,g,e,c,s,f,w,w,p,w,o,p,w,n,m
b,y,w,t,l,f,c,b,r,t,c,s,s,y,y,u,w,t,p,y,y,w
s,y,y,f,p,f,d,n,b,t,u,s,s,w,w,p,y,t,p,b,v,w
b,s,y,t,a,d,c,b,g,e,c,y,y,w,o,p,w,o,p,k,s,g
